"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
2.4,NA,NA,3.5,NA,1,1,2.8,1.3,0.045,NA,1279.6,25300,0,0,1,25,2,1,1,0,0,NA,100,4500,0,24865,0,1
0.4,NA,10,7.2,NA,NA,NA,1.6,1.5,NA,NA,846,13100,0,0,0,0,1,1,1,0,0,NA,NA,8000,0,13100,0,0
6,NA,20,4.9,2,6,1,5.2,NA,NA,NA,3904,65000,1,1,0,0,3,1,1,1,1,NA,NA,6000,0,0,0,0
1.9,NA,10,1,1.3,1.5,NA,2.8,NA,0.3,NA,1209,82000,1,1,0,0,3,1,1,1,1,NA,300,4500,0,0,0,0
7.5,1,NA,6.2,NA,7,1,7,2.5,0.2,NA,4950,64000,0,1,1,8,3,1,1,1,1,5000,NA,7200,1240000,16000,0,0
2.2,NA,NA,2.6,NA,3,NA,4.5,3,2,3.5,2862,44500,1,1,1,4.5,3,1,1,1,1,2015,NA,4964,0,0,0,0
0.3,0.22,NA,1.39,1.34,NA,0.8,0.665,0.06,0.19,NA,1009.94,42900,0,0,0,0,1,1,1,1,0,NA,230,4200,1026000,0,0,0
3,2,10,4.5,NA,NA,1,8,1.6,0.2,NA,2822,90000,1,1,1,6,4,1,1,1,1,3000,NA,15000,800000,28000,0,1
1.2,NA,10,0.9,1,NA,0.8,2.45,1,NA,NA,676,18000,0,0,1,3,1,1,1,0,1,NA,NA,7000,0,0,0,0
4.1,0.7,20,6.42,NA,3,1.8,5.5,0.8,1.07,1.8,4032,39085,0,0,1,5,2,1,1,1,1,NA,240,2900,0,38223,0,0
3.34,0.7,10,5.5,5,3,NA,2.5,0.8,1.75,1.75,3316,38500,0,0,0,0,1,1,1,1,1,NA,1000,3000,0,14300,0,0
5.025,0.245,10,6.05,7.4,3,0.8,4.98,0.9,0.14,NA,3191,50000,0,1,0,0,3,1,1,0,1,7000,2840,5000,0,0,0,0
3.3,NA,10,5.409,3.4,1.8,NA,1.68,0.4,2.05,NA,2037,29000,0,0,0,0,1,1,1,1,0,NA,480,3200,0,29000,0,0
4.8,NA,10,5,NA,7,NA,2.8,0.1,NA,NA,2679,61170,0,0,1,5.5,2,1,1,1,0,NA,600,4000,0,28170,0,0
4.41,1,10,5.899,NA,4,2,4.68,1,1.15,3.2,4283,84751,1,0,1,5,4,1,1,1,1,NA,960,6000,0,13889,0,0
3.2,NA,10,3.95,1.4,4,NA,1.35,1,NA,NA,1970,40500,0,0,0,0,1,1,1,0,0,NA,NA,5000,2000,40500,0,0
2.5,NA,10,2,1,1,NA,2.8,1.2,NA,NA,1332,25850,0,0,0,0,1,1,1,0,1,NA,NA,2600,0,25850,0,0
2,NA,10,1,5,4,NA,4,0.2,0.05,NA,1070,31200,0,0,1,4,1,1,1,1,1,NA,200,3700,0,31200,0,0
2.2,0.6,20,6,5.7,1.5,1.8,6.5,2,0.25,1.45,1889,15650,0,0,0,0,1,1,1,0,0,NA,250,2900,0,15650,0,0
4.89999999999999,0.4,20,4.58,3.75,5.2,0.9,6,6.1,1.3,3.25,5263,80900,1,0,1,3,2,1,1,1,1,NA,12000,4000,0,0,0,0
3.49,0.42,10,3.05,15.6,2,1.6,3.08,0.25,0.24,NA,2447,58279,1,0,0,0,2,1,1,1,0,NA,NA,7000,0,58279,0,0
10.567,0.245,10,7.359,NA,3,NA,3.86,4.3,0.145,2.7,5716,150300,0,1,1,15,3,1,0,1,1,6000,NA,1200,0,41300,0,0
1.825,NA,10,4.209,NA,1,0.8,4.8,1.5,0.045,NA,1649,33223,0,0,1,6,1,1,0,1,0,NA,384,800,0,33223,0,0
7.185,NA,10,9.139,12.9,3.5,1,6.2,2.5,0.24,NA,4019,73000,0,1,0,0,3,1,1,0,1,5000,240,5700,128000,8000,0,1
2,1.3,10,3.55,NA,6.5,NA,1,0.35,NA,NA,1320,29900,0,0,1,4,1,1,1,1,0,NA,300,2700,0,29900,0,0
3.6,2,10,2.83,3.2,2,NA,0.899999999999999,2,NA,0.75,3055,50500,0,0,0,0,1,1,1,1,0,NA,1200,3200,0,32500,0,0
1.88,1,20,3,NA,1,NA,1.9,2,NA,NA,1004,22836,0,0,1,8,1,0,0,1,0,NA,240,1500,0,20836,0,0
6,1,30,5.7,NA,3,NA,3.7,1.5,NA,NA,3048,70000,0,0,1,9,2,0,0,0,1,NA,1400,4500,0,20000,0,0
6.52,3,NA,8.1,NA,6,NA,6.26,4.5,NA,NA,4611,115000,0,1,1,28,6,1,1,1,1,6000,480,7000,0,42000,0,0
