"","meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
"948",2.6,0.25,30,5.08,4.47,4.8,2,3.8,4.1,0.12,0,4251,101120,1,1,0,0,5,1,1,1,1,3600,0,6250,0,0,5000,0
"949",2.18,0,0,9.6,2,1.7,0,2.3,0.5,2,0,2641,85000,1,1,0,0,3,1,1,1,1,2000,2300,4000,840000,18500,0,0
"950",3.8,2,10,1.2,5,0,0,0.55,0,0,0,1642,52000,1,1,0,0,2,1,1,0,1,1500,0,2500,0,52000,0,0
"951",0.4,0,10,0,0,0,0,0.35,1,0,1,451,20000,0,0,0,0,1,1,1,1,1,0,150,2000,0,0,0,0
"952",6.7,0.5,20,5.15,12.2,3.6,1.4,6.45,3.43,0.12,2,5808,169300,1,1,0,0,3,1,1,1,1,4000,0,2963,560000,0,0,0
"953",5,0,20,2.32,5.9,1.9,0,3.79,1.2,0.15,9,5121,88660,1,0,0,0,2,1,1,0,1,0,2300,3240,650000,7860,0,0
"954",7,0,20,6.61,4.1,3,2,9.2,3.09,0.12,2,4894,80275,1,1,1,4,5,1,1,1,1,3600,2300,4296,0,19694,0,0
"955",4.1,0,20,4.8,4,2.3,2,4.35,1.6,0.06,0,3524,138069,1,1,1,8,2,1,1,1,1,4000,0,4960,0,18069,0,0
"956",3,0,0,1.5,1,0,0,0.9,0,0,0,1111,17100,1,0,0,0,1,1,1,1,1,0,350,4700,0,17100,0,0
"957",2.3,1,0,3,0.2,1,0,6.5,0.5,0.1,0,1735,61100,0,1,0,0,2,1,1,1,1,0,200,4000,0,14100,0,1
"958",1.4,0,10,0.5,2,0,0,0.7,0.6,0,0,652,62000,0,0,0,0,3,1,1,0,1,0,1000,3500,500000,12000,0,0
"959",0,0,0,2.35,2,1.5,0,0.25,0.39,0,0,592,21000,0,0,0,0,1,1,1,0,1,0,250,2300,0,0,0,0
"960",0.5,0,10,1.7,1.5,2,0,0.8,0.59,0,0,659,22800,0,0,0,0,1,1,1,1,1,0,180,2200,0,0,0,0
"961",2.9,0,0,0,3,1.5,0,1.55,1,1,0,1090,25000,0,0,0,0,1,1,1,0,1,0,150,3000,0,0,0,0
"962",3.35,0,10,1.25,4,1.5,0.8,1.45,1.8,1.05,0,1795,39095,1,0,0,0,2,1,1,1,0,0,250,14000,0,5095,0,0
"963",1.8,0,0,0.4,8,0,0,0.75,1.4,0,0,591,65000,1,0,0,0,2,1,1,0,0,0,0,3500,60000,46700,0,1
"964",4,0,20,3.7,0,2.8,0,2.4,4.6,0.12,0,3400,31300,1,1,0,0,1,1,1,0,1,8000,0,4986,986360,0,0,0
"965",2.6,0,0,2.2,5,4.8,0,1,0.8,1.15,1.5,2078,90000,1,1,0,0,3,1,1,1,1,3000,0,2800,0,5095,0,0
"966",6.5,0.5,10,4,21,2.8,0,3,2.8,2.2,0,4695,55000,1,1,0,0,3,1,1,1,1,0,300,5000,0,0,0,0
"967",1.9,0,0,2.52,7.47,3.8,0,1.6,0.8,0.29,0,2514,82100,1,0,0,0,2,1,1,0,1,0,3900,4182,90000,47100,0,0
"968",1.16,0,10,2,4,2,0,2.3,2.4,0.04,0,1546,10000,0,0,0,0,1,1,1,0,0,0,460,3980,0,0,0,0
"969",9,0,20,5.16,12,4,0,5,3.4,0.15,4,5782,38000,1,1,0,0,4,1,1,1,1,6000,230,3920,730000,0,0,0
"970",2.4,0,0,1.7,3.1,0,0,0.75,0.3,1,0,996,60000,0,1,0,0,3,1,1,1,0,1000,0,12500,0,0,0,0
"971",5,0,20,3.5,13.4,3,2,5.8,1.9,0.14,0,4043,25454,1,0,0,0,2,1,1,1,0,0,950,2836,0,24860,0,0
"972",2.3,0,0,1.2,0,1,0,0.35,0.4,0,0,886,63400,1,1,0,0,2,1,1,0,0,0,0,2800,0,63400,0,0
"973",1.8,0,0,0,0,0,0,0.75,1,0.05,1.5,519,12000,0,0,0,0,1,1,1,1,1,0,0,0,3000,0,0,0
"974",2,0.5,0,0,0,0,0,0.6,1,0.1,1.5,1203,20000,0,0,0,0,1,1,1,0,1,0,150,2800,0,0,0,0
"975",2.2,0,0,1.5,0,0,0,0.4,1,0,0,691,30000,0,0,1,7,1,1,1,0,0,0,150,6000,0,12000,0,0
"976",1.6,0,10,0.4,2,0,0,0.5,0.45,0,0,713,17000,0,0,0,0,1,1,1,1,1,0,200,2300,0,0,0,0
"977",3,0,0,7,11,2,0,2,2,0,3,2950,55000,1,1,0,0,4,1,1,1,1,3000,0,3000,500000,0,0,0
"978",1.75,0,10,0.18,0,1.5,0.8,3,0.8,0,0,972,23000,0,0,0,0,1,1,1,1,1,0,1200,2800,0,11970,0,0
"979",2,0,20,2.5,3.4,1,0.8,4.15,1.4,0.05,2,1597,22000,0,0,0,0,1,1,1,0,0,0,1230,3900,0,0,0,0
"980",1.8,0,10,3.1,1,1.5,0,0.5,0.5,0.08,0,1790,19800,1,0,1,2,1,1,1,0,0,0,1000,4000,0,19400,0,0
"981",3.5,0.5,30,8,0,1,2,5,3,0,0,3560,90000,1,1,1,20,4,1,1,1,1,6000,900,5500,0,0,0,0
"982",1.5,1.5,10,1,2,0,0.7,3.4,0,0,0,844,31800,0,0,0,0,2,1,1,0,0,0,400,3700,0,26600,0,0
"983",3.6,0,10,4.12,2.7,1,0,1.1,0.45,2.945,0.5,2092.8,57526,0,0,0,0,3,1,1,1,1,0,500,4500,0,76701,0,1
"984",0.9,0,10,0.9,2,1,0,0.5,0.35,0,0.5,964,33293.64,0,1,0,0,1,1,1,0,0,0,200,6100,0,31586.28,0,1
"985",2.5,1.52,20,8.28,0,5.1,0,2.45,3.66,0,0,4997,65400,1,1,1,6,2,1,1,1,1,6000,6090,4500,0,35000,0,0
"986",2.2,0.3,20,9.39999999999999,0,3.7,3.2,2.5,4.95,2.2,0,3598,86000,1,1,1,15,3,1,1,1,1,8000,1472,4800,410000,0,0,0
"987",1.9,0,10,2.2,0,0,0.8,0.8,0.5,0,0,1469,28500,0,1,1,28,1,1,1,0,0,3000,0,6000,0,26300,0,1
"988",5,1,10,5.5,5,6,0.8,3.9,0.5,0,0,3376,82000,0,0,0,0,3,1,1,1,1,0,2000,5000,0,53000,0,1
"989",0.8,0.1,0,2.6,0,2,0.7,1.6,1.4,0.1,0,1425,15200,1,0,0,0,1,1,1,1,0,0,0,4500,0,15000,0,0
"990",3,0,10,2,2.3,0.5,0.7,0.8,0.4,0,0,1273,22800,0,0,0,0,1,1,1,0,0,0,0,3000,0,22400,0,0
"991",1.2,0.4,10,2.35,0,1,1.6,1.55,1.25,0,0,1259,133000,1,1,1,50,4,0,0,0,1,6000,300,1200,100000,12500,0,0
"992",2.1,0,0,3.35,0,1,1.6,3.35,2.25,0,0,2428,44200,0,0,1,7.5,2,1,1,0,1,0,3000,9070,0,41600,0,0
"993",2,0,10,0.9,1,1,0,2.3,0,0,0,755,34000,0,1,0,0,2,1,1,1,0,1350,0,4200,0,0,0,0
"994",0.8,0.25,10,2.33,6,2,1.6,1,1.8,1.5,0,1832,103100,1,1,1,8,2,1,1,1,1,2500,0,7800,900000,26700,0,0
"995",4,0,30,11.21,3.4,1.5,0,1.8,2.71,3,6,4803,120000,1,1,1,6,5,1,1,1,1,3600,311,8000,0,0,0,0
